0	Barking and Dagenham	0.211598	0.659083	0.30339	0.435007	0.279313	0.908481	0.663964
1	Barnet	0.180707	0.38302	0.154131	0.241968	0.224253	0.548116	0.670614
2	Bexley	0.121484	0.377683	0.19325	0.281735	0.116857	0.659822	0.437733
3	Brent	0.16416	0.622594	0.575472	0.397843	0.371808	0.685429	0.564525
4	Bromley	0.162758	0.435888	0.179809	0.258456	0.186669	0.684403	0.570156
5	Camden	0.45971	0.652531	0.516692	0.533909	0.391754	0.7482	0.779916
6	Croydon	0.185201	0.546615	0.304792	0.314661	0.4704	0.825356	0.616659
7	Ealing	0.206589	0.604427	0.30268	0.366797	0.274511	0.717727	0.607721
8	Enfield	0.184181	0.464071	0.265459	0.314851	0.301054	0.66825	0.624916
9	Greenwich	0.185681	0.63353	0.271365	0.436376	0.184119	0.831543	0.521119
10	Hackney	0.316961	0.735205	0.399803	0.422169	0.407795	0.702961	0.628182
11	Hammersmith and Fulham	0.339154	0.730143	0.598816	0.613093	0.32344	0.729964	0.49207
12	Haringey	0.236622	0.554366	0.248146	0.314209	0.35265	0.770984	0.602169
13	Harrow	0.111652	0.407096	0.200291	0.272772	0.213299	0.508158	0.500398
14	Havering	0.174639	0.444102	0.227095	0.306201	0.124485	0.66945	0.594952
15	Hillingdon	0.190957	0.569041	0.196443	0.560492	0.19539	0.817153	0.577697
16	Hounslow	0.201924	0.633504	0.310923	0.406139	0.188388	0.826227	0.547316
17	Islington	0.377916	0.747418	0.35727	0.527276	0.451246	0.805025	0.644647
18	Kensington and Chelsea	0.462407	0.535574	0.385637	0.413264	0.356848	0.577554	0.654675
19	Kingston upon Thames	0.167091	0.403838	0.19265	0.185619	0.0965252	0.619199	0.414342
20	Lambeth	0.298291	0.719142	0.32937	0.38367	0.795433	0.838129	0.716323
21	Lewisham	0.171295	0.683773	0.327296	0.357837	0.458353	0.833808	0.669066
22	Merton	0.162482	0.399355	0.17156	0.227052	0.223447	0.646655	0.503812
23	Newham	0.258271	0.63696	0.278537	0.396639	0.687856	0.71317	0.529967
24	Redbridge	0.188175	0.484228	0.340465	0.305672	0.31612	0.562936	0.602967
25	Richmond upon Thames	0.157116	0.328747	0.179335	0.22401	0.104624	0.653671	0.584802
26	Southwark	0.307192	0.69017	0.486482	0.449831	0.77766	0.865991	0.672854
27	Sutton	0.142664	0.399291	0.133052	0.21273	0.129588	0.678573	0.423007
28	Tower Hamlets	0.255993	0.761973	0.604567	0.538897	0.473868	0.820864	0.573536
29	Waltham Forest	0.232838	0.641038	0.347872	0.359519	0.380902	0.7365	0.590152
30	Wandsworth	0.238671	0.424295	0.188484	0.312536	0.313416	0.63254	0.576793
31	Westminster	1	1	1	1	1	1	1
