0	Barking and Dagenham	0.221961	0.716659	0.538747	0.486976	0.443148	1	0.619984
1	Barnet	0.209918	0.447079	0.245605	0.302614	0.266002	0.6575	0.780071
2	Bexley	0.148953	0.399914	0.322759	0.472074	0.114303	0.716477	0.344449
3	Brent	0.226294	0.643786	0.643215	0.374671	0.441092	0.728062	0.640809
4	Bromley	0.201874	0.500068	0.308707	0.367332	0.180861	0.783156	0.597259
5	Camden	0.519276	0.72877	0.804306	0.536686	0.691582	0.871912	0.902461
6	Croydon	0.217092	0.640816	0.476859	0.451204	0.311303	0.910463	0.551239
7	Ealing	0.242405	0.64115	0.473772	0.470964	0.300067	0.799445	0.589322
8	Enfield	0.206373	0.502782	0.432046	0.384017	0.462752	0.717587	0.657462
9	Greenwich	0.223928	0.693853	0.396396	0.551398	0.273292	0.920156	0.521423
10	Hackney	0.358095	0.771397	0.564336	0.514962	0.627549	0.837777	0.718396
11	Hammersmith and Fulham	0.432286	0.775021	0.909778	0.693114	0.322071	0.908916	0.673124
12	Haringey	0.297307	0.678782	0.563967	0.481707	0.732572	0.869818	0.723459
13	Harrow	0.154567	0.417607	0.290591	0.247408	0.203688	0.529315	0.519776
14	Havering	0.203382	0.496741	0.326257	0.425712	0.209887	0.738785	0.598714
15	Hillingdon	0.256591	0.615145	0.427036	1	0.175047	0.861199	0.572144
16	Hounslow	0.265427	0.648967	0.470484	0.585755	0.228238	0.892554	0.509102
17	Islington	0.474115	0.798006	0.701672	0.622677	0.695929	0.964483	0.79305
18	Kensington and Chelsea	0.558313	0.707069	0.749902	0.537513	0.420777	0.740158	0.774998
19	Kingston upon Thames	0.177561	0.427004	0.598524	0.34214	0.10167	0.656733	0.410661
20	Lambeth	0.346009	0.79496	0.942259	0.581765	0.577718	0.919836	0.608705
21	Lewisham	0.220363	0.69785	0.61837	0.410287	0.441488	0.919432	0.554835
22	Merton	0.193967	0.468328	0.268222	0.294556	0.206509	0.772221	0.536614
23	Newham	0.297168	0.695376	0.582558	0.559119	0.680365	0.7984	0.525231
24	Redbridge	0.198583	0.488128	0.494029	0.395099	0.358296	0.607704	0.581471
25	Richmond upon Thames	0.189666	0.36119	0.234413	0.329152	0.123846	0.611405	0.572796
26	Southwark	0.332343	0.706636	0.847828	0.450372	0.639249	0.923017	0.744325
27	Sutton	0.149575	0.453981	0.287968	0.268594	0.131817	0.731671	0.491237
28	Tower Hamlets	0.29751	0.735179	0.70747	0.613282	0.608532	0.910918	0.666555
29	Waltham Forest	0.234273	0.626723	0.615525	0.448771	0.383795	0.812296	0.632162
30	Wandsworth	0.261655	0.541161	0.263125	0.457317	0.231559	0.679491	0.584093
31	Westminster	1	1	1	0.885023	1	0.952548	1
