0	Barking and Dagenham	0.244355	0.671621	0.415252	0.424355	0.351506	1	0.479658
1	Barnet	0.226779	0.443924	0.218917	0.299566	0.163329	0.598959	0.67802
2	Bexley	0.161454	0.420482	0.24622	0.278407	0.116047	0.724068	0.353044
3	Brent	0.247407	0.640915	0.59568	0.378467	0.38048	0.735782	0.616737
4	Bromley	0.208749	0.464952	0.20776	0.295671	0.15341	0.713577	0.521154
5	Camden	0.514898	0.707992	0.565766	0.461333	0.496286	0.832627	0.828911
6	Croydon	0.217206	0.615884	0.333573	0.4353	0.404894	0.891941	0.551079
7	Ealing	0.26322	0.62573	0.368323	0.413992	0.264918	0.79079	0.558721
8	Enfield	0.21821	0.510975	0.29924	0.344106	0.330944	0.682778	0.589994
9	Greenwich	0.257611	0.701754	0.289105	0.431634	0.236085	0.937518	0.489569
10	Hackney	0.389837	0.737984	0.461457	0.422839	0.511759	0.767202	0.764891
11	Hammersmith and Fulham	0.44699	0.778321	0.685958	0.611526	0.300317	0.830214	0.655734
12	Haringey	0.341032	0.703754	0.515945	0.458644	0.609106	0.849501	0.68366
13	Harrow	0.164108	0.39444	0.177389	0.248781	0.205969	0.516131	0.616805
14	Havering	0.210682	0.536701	0.264977	0.356677	0.167201	0.755984	0.55583
15	Hillingdon	0.269062	0.591649	0.321378	1	0.188709	0.865042	0.567042
16	Hounslow	0.288107	0.624194	0.373654	0.568464	0.196481	0.864597	0.513092
17	Islington	0.46664	0.769482	0.711893	0.50563	0.546259	0.865683	0.67772
18	Kensington and Chelsea	0.565773	0.684815	1	0.482114	0.453511	0.710372	0.711404
19	Kingston upon Thames	0.194302	0.414519	0.39359	0.248747	0.0933761	0.633998	0.384062
20	Lambeth	0.360963	0.731569	0.778952	0.448841	0.495682	0.89291	0.724388
21	Lewisham	0.22957	0.666956	0.499719	0.372391	0.391229	0.825014	0.527902
22	Merton	0.214771	0.448792	0.212032	0.281486	0.187585	0.732631	0.532545
23	Newham	0.315702	0.646558	0.460731	0.484659	0.586689	0.775429	0.47728
24	Redbridge	0.223911	0.489643	0.317044	0.295097	0.272033	0.584084	0.513493
25	Richmond upon Thames	0.219098	0.368189	0.152429	0.256814	0.073556	0.620942	0.533942
26	Southwark	0.371885	0.691299	0.547424	0.36555	0.571425	0.886416	0.723716
27	Sutton	0.156441	0.419763	0.212671	0.289981	0.110889	0.689376	0.469168
28	Tower Hamlets	0.323272	0.720323	0.498495	0.515479	0.550111	0.819015	0.705218
29	Waltham Forest	0.239975	0.613881	0.352401	0.373073	0.296593	0.76383	0.522474
30	Wandsworth	0.307106	0.492324	0.256763	0.3043	0.261833	0.615287	0.572299
31	Westminster	1	1	0.771967	0.662722	1	0.932194	1
